Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsay Allen,CHI,G,39,925,39,27,23.7,2.6,5.5,0.472,0.4,1.2,0.311,2.3,4.4,0.515,1.1,1.3,0.808,0.3,2,3.9,0.8,0.2,1.6,1.6,6.7
Rebecca Allen,PHO,F-G,18,447,18,18,24.8,2.9,7.1,0.417,1.4,3.9,0.352,1.6,3.1,0.5,0.1,0.2,0.667,0.7,3.9,1.1,0.9,0.7,1,1.9,7.4
Laeticia Amihere,ATL,F,15,73,15,0,4.9,0.4,1.6,0.25,0,0,,0.4,1.6,0.25,0.3,1.1,0.294,0.8,1.7,0.2,0.1,0.2,0.4,0.5,1.1
Ariel Atkins,WAS,G,39,1175,39,39,30.1,5.4,12.5,0.432,1.9,5.5,0.346,3.5,7,0.5,2.2,2.5,0.848,0.9,3.5,3.1,1.4,0.4,2.3,2.8,14.9
Amy Atwell,PHO,F,5,41,5,0,8.2,0.6,2.2,0.273,0.4,1.8,0.222,0.2,0.4,0.5,0.2,0.2,1,0.6,0.8,0.6,0,0.2,0.4,0.6,1.8
Shakira Austin,WAS,C-F,12,239,12,11,19.9,4.3,10.1,0.43,0.1,0.3,0.25,4.3,9.8,0.436,3,4.5,0.667,1.8,6.8,0.9,1.3,0.9,2.4,2.5,11.8
Kierstan Bell,LVA,F,5,19,5,0,3.8,0.4,1,0.4,0.2,0.4,0.5,0.2,0.6,0.333,0,0,,0,0.4,0,0,0,0,0.4,1
Grace Berger,IND,G,10,91,10,0,9.1,0.9,2.2,0.409,0.2,0.5,0.4,0.7,1.7,0.412,0.9,1.4,0.643,0.3,1.2,0.6,0.4,0,0.8,1.2,2.9
Caitlin Bickle,CON,F,7,10,7,0,1.4,0,0.3,0,0,0.3,0,0,0,,0,0,,0,0,0,0,0,0,0.1,0
DeWanna Bonner,CON,F-G,39,1247,39,38,32,5.3,12.8,0.414,1.5,4.9,0.297,3.8,7.9,0.487,3.1,3.7,0.832,0.6,6,2,1.2,0.7,1.4,1.8,15.1
Aliyah Boston,IND,F-C,39,1218,39,39,31.2,5.9,11.3,0.526,0.2,0.7,0.269,5.8,10.6,0.542,2,2.8,0.731,2.8,9,3.2,0.9,1.3,2,3.3,14.1
Cameron Brink,LAS,F,15,330,15,15,22,2.7,6.9,0.398,0.7,2.1,0.323,2.1,4.8,0.431,1.4,1.7,0.84,1.2,5.3,1.7,1.1,2.3,2.3,4,7.5
Jaelyn Brown,DAL,G-F,13,120,13,1,9.2,0.7,1.7,0.409,0.2,0.7,0.333,0.5,1,0.462,0.1,0.2,0.333,0.5,1.4,0.5,0.2,0.2,0.7,1.2,1.7
Jakia Brown-Turner,WAS,G,2,8,2,0,4,0,0.5,0,0,0,,0,0.5,0,1,1,1,0,0.5,0,0.5,0,0,0,1
Kalani Brown,DAL,C,37,485,37,1,13.1,2.3,4.1,0.573,0,0.1,0,2.3,4,0.585,1,1.6,0.655,1.1,3,1.1,0.1,0.6,1.2,1.6,5.7
Lexie Brown,LAS,G,16,379,16,8,23.7,2.6,8.2,0.321,1.3,4.3,0.304,1.3,3.9,0.339,1.5,1.7,0.889,0.1,2.3,3.3,1.1,0.1,1.9,1.4,8.1
Kennedy Burke,NYL,G-F,37,448,37,3,12.1,1.5,3.5,0.415,0.4,1.5,0.263,1.1,2,0.534,0.2,0.3,0.7,0.4,1.5,0.8,0.6,0.3,0.7,1,3.5
Rae Burrell,LAS,G-F,36,553,36,6,15.4,1.6,4.4,0.369,0.6,1.9,0.343,1,2.5,0.389,2.2,2.8,0.78,0.5,1.7,1.1,0.8,0.3,1,1.6,6
Veronica Burton,CON,G,30,374,30,1,12.5,0.8,2.3,0.348,0.4,1.2,0.314,0.4,1.1,0.382,1,1.2,0.838,0.4,1.4,1.8,0.5,0.2,0.5,1,3
Maya Caldwell,ATL,G,24,381,24,6,15.9,2.1,5,0.417,0.6,2,0.298,1.5,3,0.493,0.4,0.5,0.769,0.8,1.8,1.1,0.6,0.2,0.9,1.3,5.2
Jordin Canada,ATL,G,19,598,19,17,31.5,3.4,8.8,0.389,0.8,2.9,0.286,2.6,5.8,0.441,3,3.8,0.792,0.6,3.5,5.8,1.6,0.3,2.1,2.7,10.7
Emma Cannon,LVA,F,5,9,5,0,1.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0,0,,0,0.4,0.2,0,0,0.2,0,0.8
Kamilla Cardoso,CHI,C,32,876,32,29,27.4,3.9,7.6,0.521,0,0,,3.9,7.6,0.521,1.9,2.6,0.726,3,7.9,1.7,0.5,1.4,1.5,3.2,9.8
Bridget Carleton,MIN,F,38,1136,38,35,29.9,3.3,7.2,0.454,2.3,5.2,0.447,0.9,1.9,0.473,0.8,1,0.789,1,3.8,2.3,1,0.3,1,2.1,9.7
DiJonai Carrington,CON,G-F,38,1127,38,38,29.7,4.4,11,0.403,0.7,2.7,0.252,3.7,8.3,0.452,3.2,4.1,0.787,1.3,4.8,1.6,1.6,0.4,1.9,2.5,12.7
Chennedy Carter,CHI,G,33,858,33,20,26,7.2,14.8,0.487,0.3,0.9,0.29,6.9,13.9,0.5,2.8,3.8,0.73,0.7,3.5,3.1,1.1,0.2,1.7,3.2,17.5
Jessika Carter,LVA,C,2,4,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0
Tina Charles,ATL,C,38,1138,38,38,29.9,6.3,13.8,0.455,0.3,1.1,0.262,6,12.7,0.472,2.2,2.8,0.785,2.5,9.6,2.3,0.9,0.5,1.6,2.5,15
Layshia Clarendon,LAS,G,21,335,21,12,16,1.5,3.6,0.427,0.3,1,0.35,1.2,2.6,0.455,1,1.1,0.87,0.3,1.8,2.6,0.7,0,1.2,2.1,4.3
Alysha Clark,LVA,F,39,947,39,17,24.3,2.1,4.7,0.445,1.2,3.1,0.375,0.9,1.6,0.581,0.6,0.7,0.821,0.5,3.6,1.7,0.8,0.3,1.4,2.7,5.9
Caitlin Clark,IND,G,39,1396,39,39,35.8,6.2,14.7,0.417,3.1,9,0.341,3.1,5.7,0.538,4.1,4.6,0.904,0.4,5.7,8.4,1.3,0.7,5.6,2.8,19.5
Natasha Cloud,PHO,G,37,1245,37,37,33.6,4.1,10.2,0.399,1.2,3.8,0.312,2.9,6.4,0.451,2.4,2.9,0.822,0.5,4.1,7,1.4,0.6,3.1,2.7,11.7
Nia Coffey,ATL,F,39,521,39,11,13.4,1.2,3.7,0.317,0.5,1.7,0.273,0.7,2,0.354,0.4,0.5,0.789,0.5,2.4,1.2,0.3,0.7,0.9,1.2,3.2
Napheesa Collier,MIN,F,34,1180,34,34,34.7,7.9,16,0.492,0.9,2.9,0.31,7,13.1,0.533,3.7,4.6,0.804,2.2,9.7,3.4,1.9,1.4,2.1,2.6,20.4
Sydney Colson,LVA,G,30,216,30,0,7.2,0.7,1.9,0.393,0.4,1.1,0.344,0.4,0.8,0.458,0.3,0.3,0.889,0,0.3,0.9,0.4,0.1,0.3,0.7,2.1
Zia Cooke,LAS,G,28,256,28,0,9.1,1.3,4,0.321,0.4,1.3,0.297,0.9,2.7,0.333,0.7,1,0.69,0.1,0.6,0.6,0.3,0.1,0.8,0.8,3.7
Kahleah Copper,PHO,G-F,36,1171,36,36,32.5,7.5,17.2,0.438,1.9,6,0.319,5.6,11.2,0.501,4.6,5.8,0.807,0.7,4.6,2.2,0.8,0.1,3,3.3,21.6
Lorela Cubaj,ATL,F-C,27,205,27,1,7.6,0.5,1.1,0.452,0,0,,0.5,1.1,0.452,0.1,0.1,0.667,0.7,1.4,0.5,0.3,0.1,0.4,1,1.1
Sophie Cunningham,PHO,G,39,1088,39,20,27.9,2.6,6,0.427,1.7,4.5,0.375,0.9,1.5,0.586,1.5,1.7,0.866,0.4,4,2,1,0.3,0.9,2.3,8.3
Damiris Dantas,IND,F,19,195,19,0,10.3,1.7,3.6,0.485,0.6,1.5,0.414,1.1,2.1,0.538,0.4,0.5,0.7,0.2,2.1,0.5,0.3,0.3,0.6,0.9,4.5
Kaela Davis,CHI,F,3,21,3,0,7,0,1,0,0,0,,0,1,0,0,0,,0,0.3,0,0,0,0.7,1,0
Marquesha Davis,NYL,G,19,67,19,0,3.5,0.4,0.9,0.389,0.1,0.1,1,0.3,0.9,0.353,0.3,0.4,0.714,0.1,0.4,0.2,0.1,0.2,0.1,0.5,1.1
Diamond DeShields,CHI,G,32,441,32,10,13.8,1.8,5,0.348,0.3,1.6,0.173,1.5,3.4,0.431,0.7,1.1,0.611,0.2,1.4,1.3,0.6,0.3,0.9,1.6,4.5
Skylar Diggins-Smith,SEA,G,39,1237,39,39,31.7,5.4,12.9,0.422,0.9,3.4,0.282,4.5,9.5,0.472,3.3,3.8,0.867,0.7,2.6,6.4,1.7,0.9,2.8,2.8,15.2
Liz Dixon,PHO,F,17,160,17,0,9.4,0.6,1.7,0.379,0,0,,0.6,1.7,0.379,0.5,0.6,0.8,0.8,2.4,0.5,0.1,0.5,0.5,0.8,1.8
Ivana Dojkić,NYL,G,26,257,26,0,9.9,1,2.8,0.338,0.6,1.6,0.381,0.3,1.2,0.281,0.8,1,0.778,0.3,0.8,0.8,0.3,0,0.5,1,3.3
Stefanie Dolson,WAS,C,38,990,38,38,26.1,3.5,7.2,0.482,1.9,4,0.477,1.6,3.2,0.488,0.9,1.1,0.786,0.8,4.9,2.7,0.6,0.5,1.7,2.9,9.7
Aaliyah Edwards,WAS,F,34,741,34,17,21.8,3,6.2,0.49,0,0.2,0,3,6,0.507,1.5,2.4,0.65,1.4,5.6,1.4,0.7,0.8,1.5,2.7,7.6
Emily Engstler,WAS,F,31,437,31,2,14.1,2.3,4.7,0.479,0.8,1.7,0.453,1.5,3,0.495,0.5,0.6,0.8,1.4,4,1.4,0.6,0.7,0.7,1.5,5.8
Olivia Époupa,MIN,G,16,105,16,0,6.6,0.4,0.9,0.4,0,0,,0.4,0.9,0.4,0.1,0.1,1,0.4,1.2,1.5,0.8,0,0.9,0.8,0.9
Dana Evans,CHI,G,38,721,38,12,19,2.4,6.3,0.375,1,2.7,0.379,1.3,3.6,0.372,1.2,1.3,0.958,0.1,1.1,2.4,0.7,0.1,1.4,1.2,7
Temi Fagbenle,IND,C,21,400,21,2,19,2.6,5.1,0.505,0.1,0.6,0.167,2.5,4.5,0.547,1,1.3,0.786,1.5,4.9,1,0.5,0.7,1.1,3.1,6.3
Dyaisha Fair,LVA,G,1,4,1,0,4,0,2,0,0,1,0,0,1,0,0,0,,0,0,2,0,0,0,0,0
Dulcy Fankam Mendjiadeu,SEA,F-C,7,36,7,0,5.1,0.3,0.4,0.667,0,0,,0.3,0.4,0.667,0.3,0.9,0.333,0.6,1.3,0.1,0,0,0.4,0.7,0.9
Leonie Fiebich,NYL,F,39,827,39,15,21.2,2.5,5.2,0.475,1.4,3.2,0.429,1.1,1.9,0.553,0.5,0.6,0.72,1,3.1,1.8,0.9,0.2,1,2.2,6.8
Kysre Gondrezick,CHI,G,5,16,5,0,3.2,0.4,1.4,0.286,0.2,1.2,0.167,0.2,0.2,1,0,0,,0.2,0.4,0.4,0.8,0,0.6,0.4,1
Allisha Gray,ATL,G,39,1310,39,39,33.6,5.2,12.9,0.4,1.7,5.1,0.342,3.4,7.8,0.438,3.6,4.7,0.772,1.1,4.4,2.6,1.1,0.7,1.7,2.4,15.7
Chelsea Gray,LVA,G,27,702,27,25,26,3.1,7.6,0.408,1,2.9,0.338,2.1,4.8,0.45,1.4,1.8,0.813,0.2,2.9,4.9,1.3,0.7,2.4,1.4,8.6
Brittney Griner,PHO,C,29,839,29,29,28.9,7.4,12.8,0.58,0.3,0.6,0.5,7.1,12.2,0.584,2.9,3.7,0.778,1.8,6.5,2.4,0.5,1.6,1.8,1.9,18
Megan Gustafson,LVA,C,37,376,37,6,10.2,1.2,2.4,0.489,0.5,1.4,0.392,0.6,1.1,0.615,0.2,0.3,0.75,0.5,1.8,0.2,0.3,0.1,0.3,1.5,3.2
Dearica Hamby,LAS,F,39,1306,39,39,33.5,6.7,13.1,0.51,0.8,2.2,0.349,5.9,10.9,0.542,3.1,4.9,0.627,1.5,9.3,3.5,1.7,0.2,2.9,2.8,17.2
Isabelle Harrison,CHI,F,35,558,35,4,15.9,2.5,6.5,0.394,0.1,0.5,0.125,2.5,6,0.414,1.2,1.4,0.837,1,3.7,0.7,0.6,0.3,1.1,1.3,6.3
Mikiah Herbert Harrigan,PHO,F,30,320,30,3,10.7,1.1,2.6,0.416,0.6,1.6,0.347,0.5,0.9,0.536,0.3,0.5,0.5,0.5,1.3,0.3,0.5,0.4,0.5,0.9,3
Tyasha Harris,CON,G,38,1099,38,37,28.9,3.7,8.7,0.419,1.6,3.9,0.393,2.1,4.8,0.44,1.5,2,0.76,0.3,1.8,3,1.1,0.3,1.4,1.7,10.4
Tiffany Hayes,LVA,G,32,682,32,4,21.3,3.2,6.4,0.5,0.9,2.4,0.395,2.3,4.1,0.562,1.8,2.5,0.709,0.8,2.8,2,0.7,0.3,0.8,2.1,9.1
Destanni Henderson,ATL,G,6,105,6,0,17.5,1.7,4.8,0.345,0.2,1.7,0.1,1.5,3.2,0.474,0.5,1.2,0.429,0,2,2.5,0.3,0.2,1.7,0.8,4
Natisha Hiedeman,MIN,G,39,582,39,0,14.9,1.8,4.8,0.376,0.6,2.1,0.275,1.2,2.7,0.453,0.6,0.9,0.735,0.4,1.5,2.4,0.8,0.2,1.1,1.3,4.8
Naz Hillmon,ATL,F,39,846,39,18,21.7,2.2,4,0.542,0,0.1,0.333,2.1,3.9,0.546,1.2,1.6,0.77,1.6,4.9,1.3,0.7,0.3,0.9,1.3,5.5
Joyner Holmes,SEA,F,26,212,26,0,8.2,1.1,2.5,0.439,0.2,1,0.185,0.9,1.5,0.615,0.2,0.4,0.6,0.4,1.5,0.8,0.2,0.2,0.7,1,2.7
Jordan Horston,SEA,F,38,854,38,14,22.5,2.9,5.8,0.5,0.3,1.3,0.265,2.6,4.5,0.567,0.8,1.1,0.721,1.2,4.4,1.8,1.3,0.7,1.7,1.8,6.9
Natasha Howard,DAL,F,26,792,26,25,30.5,7,15.1,0.462,0.4,2,0.192,6.6,13.1,0.503,3.4,4.8,0.718,2,6.7,3,1.3,0.8,2.9,3.2,17.7
Rhyne Howard,ATL,G,29,993,29,28,34.2,5.6,15.2,0.37,2.7,8.2,0.324,3,7,0.426,3.6,4.6,0.78,0.8,4.4,3.1,1.8,0.6,1.8,2.1,17.4
Lexie Hull,IND,G,33,650,33,10,19.7,1.8,4.1,0.448,1,2.1,0.478,0.8,2,0.415,1,1.2,0.805,1,2.5,1.1,0.6,0.3,0.8,2.5,5.6
Sabrina Ionescu,NYL,G,37,1199,37,37,32.4,6.4,16.2,0.397,2.9,8.6,0.332,3.6,7.6,0.471,2.9,3.2,0.898,0.7,4.5,6.2,1,0.3,2.8,1.2,18.6
Rickea Jackson,LAS,F,39,1116,39,34,28.6,4.9,10.8,0.456,1,3,0.345,3.9,7.9,0.498,2.3,2.9,0.804,1.3,3.8,1.5,0.7,0.3,1.9,1.7,13.2
Brionna Jones,CON,F,39,1067,39,39,27.4,5.6,10.4,0.542,0.1,0.4,0.143,5.6,10.1,0.556,2.6,3.6,0.73,2.2,5.6,1.5,1.2,0.6,1.3,2.7,14
Haley Jones,ATL,F-G,39,699,39,24,17.9,1.5,3.7,0.393,0.2,0.7,0.214,1.3,3,0.436,0.8,1.2,0.689,0.3,2.2,2.1,0.3,0.3,1.7,2,3.9
Jonquel Jones,NYL,C,38,1134,38,38,29.8,5.3,9.9,0.54,1.5,3.9,0.387,3.8,5.9,0.642,2.2,2.7,0.788,1.8,8.9,3.2,0.8,1.2,2.3,2.9,14.4
Dorka Juhász,MIN,F,34,548,34,7,16.1,2,4.2,0.479,0.3,1,0.324,1.7,3.2,0.527,0.4,0.6,0.65,0.9,3.8,1.1,0.4,0.4,0.6,1.1,4.8
Betnijah Laney,NYL,G-F,27,822,27,24,30.4,4.3,9.5,0.457,1.4,3.7,0.384,2.9,5.8,0.503,1.8,2,0.906,1.1,4.3,3.4,1.2,0,2.4,2.2,11.9
Lou Lopez Sénéchal,DAL,G,26,114,26,0,4.4,0.3,1.2,0.29,0.1,0.5,0.214,0.2,0.7,0.353,0.1,0.1,1,0.1,0.4,0.4,0.1,0,0.2,0.5,0.9
Jewell Loyd,SEA,G,37,1246,37,37,33.7,6.1,16.8,0.36,1.6,5.8,0.274,4.5,11,0.405,6,6.8,0.881,0.7,4.5,3.6,1.4,0.2,2.3,1.8,19.7
Natasha Mack,PHO,F,39,601,39,11,15.4,1.7,3,0.564,0,0.1,0,1.7,2.9,0.579,0.3,0.4,0.647,1.5,4.9,1.1,0.7,1.2,0.7,1.4,3.7
Ezi Magbegor,SEA,F-C,37,1136,37,37,30.7,4.6,9.1,0.512,0.4,1.4,0.245,4.3,7.6,0.562,2.1,2.4,0.874,2.2,8,2,1.1,2.2,1.4,3.2,11.7
Kate Martin,LVA,G,33,360,33,1,10.9,0.8,2.5,0.321,0.6,1.7,0.368,0.2,0.7,0.208,0.2,0.2,0.875,0.2,1.5,0.8,0.2,0.2,0.6,0.8,2.4
Kayla McBride,MIN,G,39,1237,39,39,31.7,4.5,10.6,0.42,2.7,6.6,0.407,1.8,4,0.442,3.4,3.8,0.893,0.4,2.6,3.2,1.3,0.1,2,1.2,15
Teaira McCowan,DAL,C,39,987,39,38,25.3,4.7,8.3,0.57,0,0.1,0.25,4.7,8.2,0.574,2.3,3.2,0.718,2.9,8.1,1.6,0.9,0.9,2,3,11.7
Aari McDonald,LAS,G,26,568,26,10,21.8,3,7.3,0.403,1.1,3.5,0.319,1.8,3.8,0.48,1.7,2,0.843,0.5,2,3.7,0.9,0.2,1.8,2,8.7
Jade Melbourne,WAS,G,36,503,36,0,14,1.9,4.4,0.43,0.5,1.5,0.358,1.4,2.9,0.467,1,1.4,0.714,0.3,1.5,1.6,0.6,0.1,1.7,1.5,5.3
Diamond Miller,MIN,F,20,192,20,3,9.6,1,3.1,0.311,0.2,1.2,0.174,0.8,1.9,0.395,0.6,0.9,0.611,0.4,1.7,0.7,0.4,0.1,0.9,1.2,2.7
